origin,year,outflow_to_europe,wb_gdp_pc_growth,wb_population,wb_remit_in_pct_gdp,wb_unemployment,outflow_rate_per_1000,L1_outflow_rate_per_1000,L1_wb_remit_in_pct_gdp,L1_wb_unemployment,L1_wb_gdp_pc_growth,L1_outflow_x_remit_in
TM,2018,262.0,3.83102484770528,6655524.0,,4.036,0.03936579599142006,0.03304103035149048,,4.035,4.09374782222559,
TM,2019,204.0,3.98119112698603,6803944.0,,4.035,0.029982610086150035,0.03936579599142006,,4.036,3.83102484770528,
TM,2020,73.0,3.67579761156229,6949912.0,,4.489,0.010503730119172732,0.029982610086150035,,4.035,3.98119112698603,
TM,2021,210.0,4.07165530742274,7092043.0,,4.458,0.02961064956881959,0.010503730119172732,,4.489,3.67579761156229,
TM,2022,941.0,4.17079684424029,7230193.0,,4.017,0.13014866961366037,0.02961064956881959,,4.458,4.07165530742274,
TM,2023,985.0,4.36243135913014,7364438.0,,4.007,0.13375087141747952,0.13014866961366037,,4.017,4.17079684424029,
TM,2024,1112.0,4.45469950237209,7494498.0,,4.02,0.1483755149444299,0.13375087141747952,,4.007,4.36243135913014,
TN,1998,3213.0,3.46159826406904,9541667.0,3.29473366226966,15.473,0.3367336126905288,,,,,
TN,1999,3184.0,4.79928371775667,9655963.0,3.31792561673733,15.21,0.3297444283910367,0.3367336126905288,3.29473366226966,15.473,3.46159826406904,1.1094475689491592
TN,2000,3488.0,3.54145974209786,9764935.0,3.70667246965086,14.94,0.3571964380715284,0.3297444283910367,3.31792561673733,15.21,4.79928371775667,1.0940674859350288
TN,2001,831.0,2.6947331733366,9869677.0,4.20173772010119,14.4,0.08419728426776277,0.3571964380715284,3.70667246965086,14.94,3.54145974209786,1.3240102032570826
TN,2002,4336.0,0.287760873614303,9971515.0,4.62505818398393,14.55,0.4348386378599441,0.08419728426776277,4.20173772010119,14.4,2.6947331733366,0.3537749052379413
TN,2003,1893.0,3.66160593216975,10071632.0,4.55401146418396,14.51,0.18795365041137327,0.4348386378599441,4.62505818398393,14.55,0.287760873614303,2.011154000746559
TN,2004,3736.0,5.24794746880204,10166163.0,4.59003431419085,14.23,0.367493615831263,0.18795365041137327,4.55401146418396,14.51,3.66160593216975,0.8559430787086181
TN,2005,4878.0,2.58534081098441,10255472.0,4.31539618298049,12.872,0.47564851232590755,0.367493615831263,4.59003431419085,14.23,5.24794746880204,1.6868083069115671
TN,2006,3484.0,4.31907482857264,10346410.0,4.39262875850702,12.51,0.33673515741208787,0.47564851232590755,4.31539618298049,12.872,2.58534081098441,2.05261177453157
TN,2007,3259.0,5.73567938504127,10441702.0,4.40894710281036,12.365,0.31211386802649604,0.33673515741208787,4.39262875850702,12.51,4.31907482857264,1.4791525364487255
TN,2008,9860.0,3.23983058347032,10542635.0,4.40701942168731,12.444,0.9352500584531286,0.31211386802649604,4.40894710281036,12.365,5.73567938504127,1.3760935341823548
TN,2009,6392.0,1.99812423215356,10650681.0,4.52066560776586,13.29,0.6001494176757336,0.9352500584531286,4.40701942168731,12.444,3.23983058347032,4.1216651717371295
