geo,time_period,hpi_index,hpi_qoq_growth_eurostat,air_passengers,period,year,quarter,log_hpi,log_air_passengers,dlog_hpi_qoq,hpi_yoy,air_qoq,air_yoy,L1_air_qoq,L2_air_qoq,L1_air_yoy,L2_air_yoy,L1_hpi_yoy,L2_hpi_yoy,L1_dlog_hpi_qoq,L2_dlog_hpi_qoq,period_str,quarter_end,post_2020q1,pandemic_shock
PL,2022-Q3,167.38,2.4,13759109.0,2022Q3,2022,3,5.120266676604728,16.437211635465935,2.3453686267419727,11.444293950569406,27.343159063463318,44.95779213066431,64.7889283618472,-16.690625466239695,136.8593148205713,171.79282739684857,11.663690372576063,12.715306080843813,1.976593072180055,3.265466872111844,2022Q3,2022-09-30 23:59:59.999999999,1,0
PL,2022-Q4,169.64,1.4,9645118.0,2022Q4,2022,4,5.13367854460639,16.081962438565427,1.3411868001662164,8.928615371200088,-35.52491969005089,39.91654226901993,27.343159063463318,64.7889283618472,44.95779213066431,136.8593148205713,11.444293950569406,11.663690372576063,2.3453686267419727,1.976593072180055,2022Q4,2022-12-31 23:59:59.999999999,1,0
PL,2023-Q1,169.52,-0.1,9010687.0,2023Q1,2023,1,5.132970913960044,16.013921875290396,-0.07076306463460469,5.5923854344536394,-6.804056327503005,49.80311140775662,-35.52491969005089,27.343159063463318,39.91654226901993,44.95779213066431,8.928615371200088,11.444293950569406,1.3411868001662164,2.3453686267419727,2023Q1,2023-03-31 23:59:59.999999999,1,0
PL,2023-Q2,175.0,3.2,13261147.0,2023Q2,2023,2,5.1647859739235145,16.400349039735165,3.181505996347056,6.79729835862064,38.64271644447683,23.65689949038625,-6.804056327503005,-35.52491969005089,49.80311140775662,39.91654226901993,5.5923854344536394,8.928615371200088,-0.07076306463460469,1.3411868001662164,2023Q2,2023-06-30 23:59:59.999999999,1,0
PL,2023-Q3,182.88,4.5,16331550.0,2023Q3,2023,3,5.2088302000465,16.60860937777235,4.404422612298564,8.856352344177232,20.826033803718502,17.139774230641436,38.64271644447683,-6.804056327503005,23.65689949038625,49.80311140775662,6.79729835862064,5.5923854344536394,3.181505996347056,-0.07076306463460469,2023Q3,2023-09-30 23:59:59.999999999,1,0
PL,2023-Q4,191.72,4.8,11565226.0,2023Q4,2023,4,5.25603597429143,16.263513395177448,4.720577424493033,12.235742968504049,-34.509598259490204,18.155095661202125,20.826033803718502,38.64271644447683,17.139774230641436,23.65689949038625,8.856352344177232,6.79729835862064,4.404422612298564,3.181505996347056,2023Q4,2023-12-31 23:59:59.999999999,1,0
PL,2024-Q1,200.04,4.3,10557858.0,2024Q1,2024,1,5.298517346550703,16.172380974758298,4.248137225927273,16.554643259065926,-9.113242041915015,15.845909946790115,-34.509598259490204,20.826033803718502,18.155095661202125,17.139774230641436,12.235742968504049,8.856352344177232,4.720577424493033,4.404422612298564,2024Q1,2024-03-31 23:59:59.999999999,1,0
PL,2024-Q2,205.92,2.9,15065281.0,2024Q2,2024,2,5.327487743847817,16.527903382878392,2.8970397297113593,16.27017699243023,35.55224081200947,12.755434314322756,-9.113242041915015,-34.509598259490204,15.845909946790115,18.155095661202125,16.554643259065926,12.235742968504049,4.248137225927273,4.720577424493033,2024Q2,2024-06-30 23:59:59.999999999,1,0
PL,2024-Q3,209.2,1.6,18432452.0,2024Q3,2024,3,5.343290732190768,16.729623364746526,1.5802988342951352,13.4460532144268,20.17199818681341,12.101398697417665,35.55224081200947,-9.113242041915015,12.755434314322756,15.845909946790115,16.27017699243023,16.554643259065926,2.8970397297113593,4.248137225927273,2024Q3,2024-09-30 23:59:59.999999999,1,0
PL,2024-Q4,211.65,1.2,12989927.0,2024Q4,2024,4,5.354933966966933,16.379684768923525,1.1643234776165023,9.88979926755027,-34.993859582300146,11.617137374607722,20.17199818681341,35.55224081200947,12.101398697417665,12.755434314322756,13.4460532144268,16.27017699243023,1.5802988342951352,2.8970397297113593,2024Q4,2024-12-31 23:59:59.999999999,1,0
PL,2025-Q1,213.2,0.7,11833525.0,2025Q1,2025,1,5.362230692291689,16.28644716282946,0.7296725324756004,6.371334574098597,-9.323760609406406,11.406618807116331,-34.993859582300146,20.17199818681341,11.617137374607722,12.101398697417665,9.88979926755027,13.4460532144268,1.1643234776165023,1.5802988342951352,2025Q1,2025-03-31 23:59:59.999999999,1,0
PL,2025-Q2,215.66,1.2,16905591.0,2025Q2,2025,2,5.373703093453926,16.64315495358402,1.1472401162237134,4.621534960610951,35.67077907545588,11.525157070562742,-9.323760609406406,-34.993859582300146,11.406618807116331,11.617137374607722,6.371334574098597,9.88979926755027,0.7296725324756004,1.1643234776165023,2025Q2,2025-06-30 23:59:59.999999999,1,0
PL,2025-Q3,217.54,0.9,20591526.0,2025Q3,2025,3,5.382382741665704,16.840390189905094,0.8679648211777469,3.909200947493563,19.723523632107387,11.076682515856717,35.67077907545588,-9.323760609406406,11.525157070562742,11.406618807116331,4.621534960610951,6.371334574098597,1.1472401162237134,0.7296725324756004,2025Q3,2025-09-30 23:59:59.999999999,1,0
