rep_airp,country,icao,airport_name,municipality,latitude_deg,longitude_deg,coord_match,nuts2,crosswalk_method,distance_deg
FR_LFOK,FR,LFOK,Chalons Vatry airport,Chalons en Champagne,48.77333,4.20611,matched,FRF2,contains,0.0
FR_LFOP,FR,LFOP,Rouen Vallée de Seine Airport,Boos,49.384887,1.179142,matched,FRD2,contains,0.0
FR_LFOT,FR,LFOT,Tours Val de Loire Airport,"Tours, Indre-et-Loire",47.432201,0.727606,matched,FRB0,contains,0.0
FR_LFPG,FR,LFPG,Charles de Gaulle International Airport,"Paris (Roissy-en-France, Val-d'Oise)",49.00896,2.554117,matched,FR10,contains,0.0
FR_LFPO,FR,LFPO,Paris-Orly Airport,"Paris (Orly, Val-de-Marne)",48.72333,2.37944,matched,FR10,contains,0.0
FR_LFQQ,FR,LFQQ,Lille Airport,Lesquin,50.566564,3.102429,matched,FRE1,contains,0.0
FR_LFRB,FR,LFRB,Brest Bretagne airport,Brest,48.447899,-4.41854,matched,FRH0,contains,0.0
FR_LFRC,FR,LFRC,Cherbourg Manche airport,Cherbourg,49.650101,-1.47028,matched,FRD1,contains,0.0
FR_LFRD,FR,LFRD,Dinard Pleurtuit Saint-Malo airport,Dinard,48.5877,-2.07996,matched,FRH0,contains,0.0
FR_LFRG,FR,LFRG,Deauville Normandie airport,Deauville,49.365237,0.154481,matched,FRD1,contains,0.0
FR_LFRH,FR,LFRH,Lorient South Brittany (Bretagne Sud) Airport,Lorient/Lann/Bihoué,47.760601,-3.44,matched,FRH0,contains,0.0
FR_LFRK,FR,LFRK,Caen Carpiquet airport,Caen,49.17678,-0.454883,matched,FRD1,contains,0.0
FR_LFRM,FR,LFRM,Le Mans-Arnage Airport,"Le Mans, Sarthe",47.948604,0.201702,matched,FRG0,contains,0.0
FR_LFRN,FR,LFRN,Rennes-Saint-Jacques Airport,"Saint-Jacques-de-la-Lande, Ille-et-Vilaine",48.0695,-1.73479,matched,FRH0,contains,0.0
FR_LFRO,FR,LFRO,Lannion Airport,Lannion,48.754398,-3.47166,matched,FRH0,contains,0.0
FR_LFRQ,FR,LFRQ,Quimper-Cornouaille Airport,Quimper/Pluguffan,47.973031,-4.169655,matched,FRH0,contains,0.0
FR_LFRS,FR,LFRS,Nantes Atlantique Airport,Nantes,47.153198,-1.61073,matched,FRG0,contains,0.0
FR_LFRT,FR,LFRT,Saint-Brieuc-Armor Airport,"Trémuson, Côtes-d'Armor",48.538628,-2.853518,matched,FRH0,contains,0.0
FR_LFRZ,FR,LFRZ,Saint-Nazaire-Montoir Airport,Saint-Nazaire/Montoir,47.31142,-2.152634,matched,FRG0,contains,0.0
FR_LFSB,FR,LFSB,EuroAirport Basel–Mulhouse–Freiburg,Bâle / Mulhouse,47.60068,7.521117,matched,FRF1,contains,0.0
FR_LFSD,FR,LFSD,Dijon Longvic airport,Dijon,47.268902,5.09,matched,FRC1,contains,0.0
FR_LFSR,FR,LFSR,,,,,unmatched,,,
FR_LFST,FR,LFST,Strasbourg Airport,Strasbourg,48.5383,7.62823,matched,FRF1,contains,0.0
FR_LFTH,FR,LFTH,Toulon-Hyères Airport,"Hyères, Var",43.097301,6.14603,matched,FRL0,contains,0.0
FR_LFTW,FR,LFTW,Nîmes-Arles-Camargue Airport,Nîmes/Garons,43.757401,4.41635,matched,FRJ1,contains,0.0
FR_LFTZ,FR,LFTZ,La Môle Airport,Saint-Tropez,43.205399,6.482,matched,FRL0,contains,0.0
FR_SOCA,FR,SOCA,Cayenne – Félix Eboué Airport,Matoury,4.819964,-52.361326,matched,FRY3,contains,0.0
FR_TFFF,FR,TFFF,Martinique Aimé Césaire International Airport,Fort-de-France,14.591,-61.003201,matched,FRY2,contains,0.0
FR_TFFR,FR,TFFR,Maryse Condé International Airport,Pointe-à-Pitre,16.265443,-61.532754,matched,FRY1,contains,0.0
HR_LDDU,HR,LDDU,Dubrovnik Ruđer Bošković Airport,Dubrovnik,42.562247,18.265543,matched,HR03,contains,0.0
HR_LDPL,HR,LDPL,Pula Airport,Pula,44.893501,13.9222,matched,HR03,contains,0.0
HR_LDRI,HR,LDRI,Rijeka Airport,Rijeka(Omišalj),45.216376,14.57085,matched,HR03,contains,0.0
HR_LDSP,HR,LDSP,Split Saint Jerome Airport,Split,43.538898,16.298,matched,HR03,contains,0.0
HR_LDZA,HR,LDZA,Zagreb Franjo Tuđman International Airport,Velika Gorica,45.742901,16.0688,matched,HR06,contains,0.0
HR_LDZD,HR,LDZD,Zadar Airport,Zadar,44.096986,15.353565,matched,HR03,contains,0.0
HU_LHBP,HU,LHBP,Budapest Liszt Ferenc International Airport,Budapest,47.43018,19.262393,matched,HU12,contains,0.0
HU_LHDC,HU,LHDC,Debrecen International Airport,Debrecen,47.489469,21.616278,matched,HU32,contains,0.0
IE_EICK,IE,EICK,Cork International Airport,Cork,51.841301,-8.49111,matched,IE05,contains,0.0
IE_EICM,IE,EICM,,,,,unmatched,,,
IE_EIDW,IE,EIDW,Dublin Airport,Dublin,53.428713,-6.262121,matched,IE06,contains,0.0
IE_EIKN,IE,EIKN,Ireland West Airport Knock,Charlestown,53.910439,-8.817002,matched,IE04,contains,0.0
IE_EIKY,IE,EIKY,Kerry Airport,Farranfore,52.180901,-9.52378,matched,IE05,contains,0.0
IE_EINN,IE,EINN,Shannon Airport,Shannon,52.702,-8.92482,matched,IE05,contains,0.0
IS_BIAR,IS,BIAR,Akureyri International Airport,Akureyri,65.656573,-18.072018,matched,IS00,contains,0.0
IS_BIEG,IS,BIEG,Egilsstaðir Airport,Egilsstaðir,65.2833023071289,-14.401399612426758,matched,IS00,contains,0.0
IS_BIKF,IS,BIKF,Keflavik International Airport,Reykjavík,63.985001,-22.6056,matched,IS00,contains,0.0
IS_BIRK,IS,BIRK,Reykjavík Domestic Airport,Reykjavík,64.128732,-21.93759,matched,IS00,contains,0.0
IT_LIBC,IT,LIBC,Crotone Sant'Anna Pythagoras Airport,Isola di Capo Rizzuto (KR),38.9972,17.0802,matched,ITF6,contains,0.0
IT_LIBD,IT,LIBD,Bari Karol Wojtyła International Airport,Bari,41.138901,16.760599,matched,ITF4,contains,0.0
IT_LIBF,IT,LIBF,Foggia Gino Lisa Airport,Foggia (FG),41.433596,15.534566,matched,ITF4,contains,0.0
IT_LIBG,IT,LIBG,Taranto-Grottaglie Marcello Arlotta Airport,Grottaglie,40.517502,17.4032,matched,ITF4,contains,0.0
IT_LIBP,IT,LIBP,Abruzzo Airport,Pescara,42.431079,14.182981,matched,ITF1,contains,0.0
IT_LIBR,IT,LIBR,Brindisi Airport,Brindisi,40.6576,17.947001,matched,ITF4,contains,0.0
IT_LICA,IT,LICA,Lamezia Terme Sant'Eufemia International Airport,Lamezia Terme (CZ),38.906214,16.246007,matched,ITF6,contains,0.0
IT_LICB,IT,LICB,Comiso Airport,Comiso,36.99583,14.60889,matched,ITG1,contains,0.0
IT_LICC,IT,LICC,Catania-Fontanarossa Airport,Catania,37.466801,15.0664,matched,ITG1,contains,0.0
IT_LICD,IT,LICD,Lampedusa Airport,Lampedusa,35.497898,12.6181,matched,ITG1,contains,0.0
IT_LICG,IT,LICG,Pantelleria Airport,Pantelleria (TP),36.816502,11.9689,matched,ITG1,contains,0.0
IT_LICJ,IT,LICJ,Falcone–Borsellino Airport,Palermo,38.175999,13.091,matched,ITG1,contains,0.0
IT_LICR,IT,LICR,Reggio Calabria Airport,Reggio Calabria,38.071201,15.6516,matched,ITF6,contains,0.0
IT_LICT,IT,LICT,Vincenzo Florio Airport Trapani-Birgi,Trapani (TP),37.9114,12.488,matched,ITG1,contains,0.0
IT_LIEA,IT,LIEA,Alghero-Fertilia Airport,Alghero,40.632099,8.29077,matched,ITG2,contains,0.0
IT_LIEE,IT,LIEE,Cagliari Elmas Airport,Cagliari,39.251499,9.05428,matched,ITG2,contains,0.0
IT_LIEO,IT,LIEO,Olbia Costa Smeralda Airport,Olbia (SS),40.898953,9.518457,matched,ITG2,contains,0.0
IT_LIMC,IT,LIMC,Milan Malpensa International Airport,Ferno (VA),45.6306,8.72811,matched,ITC4,contains,0.0
IT_LIME,IT,LIME,Il Caravaggio International Airport,Orio al Serio (BG),45.669362,9.708851,matched,ITC4,contains,0.0
IT_LIMF,IT,LIMF,Turin Airport,Caselle Torinese (TO),45.200802,7.64963,matched,ITC1,contains,0.0
IT_LIMJ,IT,LIMJ,Genoa Cristoforo Colombo Airport,Genova (GE),44.412039,8.840732,matched,ITC3,contains,0.0
IT_LIML,IT,LIML,Milano Linate Airport,Segrate (MI),45.445099,9.27674,matched,ITC4,contains,0.0
IT_LIMP,IT,LIMP,Parma Airport,Parma (PR),44.826351,10.29705,matched,ITH5,contains,0.0
IT_LIMZ,IT,LIMZ,Cuneo International Airport,Levaldigi (CN),44.547458,7.623045,matched,ITC1,contains,0.0
IT_LIPB,IT,LIPB,Bolzano Airport,Bolzano (BZ),46.459245,11.326125,matched,ITH1,contains,0.0
IT_LIPE,IT,LIPE,Bologna Guglielmo Marconi Airport,Bologna,44.5354,11.2887,matched,ITH5,contains,0.0
IT_LIPH,IT,LIPH,Treviso Airport,Treviso (TV),45.648399,12.1944,matched,ITH3,contains,0.0
IT_LIPK,IT,LIPK,Forlì-Luigi Ridolfi International Airport,Forlì (FC),44.194801,12.0701,matched,ITH5,contains,0.0
IT_LIPO,IT,LIPO,Brescia Gabriele d'Annunzio Airport,Montichiari (BS),45.428902,10.3306,matched,ITC4,contains,0.0
IT_LIPQ,IT,LIPQ,Trieste Airport,Ronchi dei Legionari/Trieste,45.827499,13.4722,matched,ITH4,contains,0.0
IT_LIPR,IT,LIPR,Federico Fellini International Airport,Rimini (RN),44.020024,12.612198,matched,ITH5,contains,0.0
IT_LIPX,IT,LIPX,Verona Villafranca Valerio Catullo Airport,Caselle (VR),45.394955,10.887303,matched,ITH3,contains,0.0
IT_LIPY,IT,LIPY,Marche Airport,Falconara Marittima (AN),43.616299,13.3623,matched,ITI3,contains,0.0
IT_LIPZ,IT,LIPZ,Venice Marco Polo Airport,Venezia (VE),45.505299,12.3519,matched,ITH3,contains,0.0
IT_LIRA,IT,LIRA,Ciampino–G. B. Pastine International Airport,Rome,41.798769,12.595331,matched,ITI4,contains,0.0
IT_LIRF,IT,LIRF,Rome–Fiumicino Leonardo da Vinci International Airport,Rome,41.804532,12.251998,matched,ITI4,contains,0.0
IT_LIRN,IT,LIRN,Naples International Airport,Napoli,40.886002,14.2908,matched,ITF3,contains,0.0
IT_LIRP,IT,LIRP,Pisa International Airport,Pisa (PI),43.683899,10.3927,matched,ITI1,contains,0.0
