country,period_str,quarter_end,country_period_ret,n_days,avg_n_tickers,min_n_tickers,max_n_tickers,country_period_ret_pct
BE,2009Q2,2009-06-30,0.10336772436604447,62.0,3.0,3.0,3.0,10.336772436604447
BE,2009Q3,2009-09-30,0.1027701157291181,66.0,3.0,3.0,3.0,10.27701157291181
BE,2009Q4,2009-12-31,0.07905916871699992,65.0,3.0,3.0,3.0,7.905916871699992
BE,2010Q1,2010-03-31,0.03038978811673232,63.0,3.0,3.0,3.0,3.038978811673232
BE,2010Q2,2010-06-30,-0.009866387979881375,63.0,3.0,3.0,3.0,-0.9866387979881375
BE,2010Q3,2010-09-30,0.08182571076494183,66.0,3.0,3.0,3.0,8.182571076494183
BE,2010Q4,2010-12-31,0.016849858057600198,65.0,3.0,3.0,3.0,1.6849858057600198
BE,2011Q1,2011-03-31,0.0623015326709111,64.0,3.0,3.0,3.0,6.23015326709111
BE,2011Q2,2011-06-30,0.01299258036633999,63.0,3.0,3.0,3.0,1.299258036633999
BE,2011Q3,2011-09-30,-0.029939245428915795,66.0,3.0,3.0,3.0,-2.9939245428915795
BE,2011Q4,2011-12-31,0.02919528819572159,64.0,3.0,3.0,3.0,2.919528819572159
BE,2012Q1,2012-03-31,0.05221635397591173,64.0,3.0,3.0,3.0,5.221635397591173
BE,2012Q2,2012-06-30,0.06831373790737705,62.0,3.0,3.0,3.0,6.831373790737705
BE,2012Q3,2012-09-30,-0.02870981037608067,65.0,3.0,3.0,3.0,-2.870981037608067
BE,2012Q4,2012-12-31,0.08770062378603471,63.0,3.0,3.0,3.0,8.770062378603471
BE,2013Q1,2013-03-31,0.059525508768395685,62.0,3.0,3.0,3.0,5.9525508768395685
BE,2013Q2,2013-06-30,0.007059659118953121,63.0,3.0,3.0,3.0,0.7059659118953121
BE,2013Q3,2013-09-30,0.05844594353984567,66.0,3.0,3.0,3.0,5.844594353984567
BE,2013Q4,2013-12-31,0.03031882615962056,64.0,3.0,3.0,3.0,3.031882615962056
BE,2014Q1,2014-03-31,-0.010009306036742882,63.0,3.0,3.0,3.0,-1.0009306036742882
BE,2014Q2,2014-06-30,0.06443942732202479,62.0,3.0,3.0,3.0,6.443942732202479
BE,2014Q3,2014-09-30,0.023794239388945426,66.0,3.0,3.0,3.0,2.3794239388945426
BE,2014Q4,2014-12-31,0.09387409832630755,64.0,3.0,3.0,3.0,9.387409832630755
BE,2015Q1,2015-03-31,0.1501043455612321,63.0,3.0,3.0,3.0,15.010434556123208
BE,2015Q2,2015-06-30,-0.06091158034470423,62.0,3.0,3.0,3.0,-6.091158034470423
BE,2015Q3,2015-09-30,0.02672502152469214,66.0,3.0,3.0,3.0,2.672502152469214
BE,2015Q4,2015-12-31,0.11369721098820129,64.0,3.1875,3.0,4.0,11.36972109882013
BE,2016Q1,2016-03-31,0.07901725360905476,62.0,4.0,4.0,4.0,7.901725360905476
BE,2016Q2,2016-06-30,0.08330284440478763,65.0,4.0,4.0,4.0,8.330284440478763
BE,2016Q3,2016-09-30,0.048386671769804046,66.0,4.0,4.0,4.0,4.838667176980405
BE,2016Q4,2016-12-31,-0.006371380994397824,64.0,4.0,4.0,4.0,-0.6371380994397824
BE,2017Q1,2017-03-31,0.023572696348595157,65.0,4.0,4.0,4.0,2.3572696348595157
BE,2017Q2,2017-06-30,0.08226400014352886,62.0,4.0,4.0,4.0,8.226400014352887
BE,2017Q3,2017-09-30,0.048362291439093985,65.0,4.0,4.0,4.0,4.8362291439093985
BE,2017Q4,2017-12-31,-0.0037392161558236214,63.0,4.0,4.0,4.0,-0.37392161558236214
BE,2018Q1,2018-03-31,-0.016487611562779114,63.0,4.0,4.0,4.0,-1.6487611562779114
BE,2018Q2,2018-06-30,0.09767488433688132,63.0,4.0,4.0,4.0,9.767488433688133
BE,2018Q3,2018-09-30,0.030196827333657028,65.0,4.0,4.0,4.0,3.019682733365703
BE,2018Q4,2018-12-31,0.011070192449468497,64.0,4.0,4.0,4.0,1.1070192449468497
BE,2019Q1,2019-03-31,0.13214720672983926,63.0,4.0,4.0,4.0,13.214720672983926
BE,2019Q2,2019-06-30,0.05585757037615435,62.0,4.0,4.0,4.0,5.585757037615435
BE,2019Q3,2019-09-30,0.1554412723232521,66.0,4.0,4.0,4.0,15.544127232325211
BE,2019Q4,2019-12-31,0.02923084440886381,64.0,4.0,4.0,4.0,2.923084440886381
BE,2020Q1,2020-03-31,-0.08421491664820824,64.0,4.0,4.0,4.0,-8.421491664820824
BE,2020Q2,2020-06-30,0.07482785915532708,62.0,4.0,4.0,4.0,7.482785915532708
BE,2020Q3,2020-09-30,0.14012728261513274,66.0,4.0,4.0,4.0,14.012728261513274
BE,2020Q4,2020-12-31,-0.060286906044969335,65.0,4.0,4.0,4.0,-6.0286906044969335
BE,2021Q1,2021-03-31,-0.006315817568291471,63.0,4.0,4.0,4.0,-0.6315817568291471
BE,2021Q2,2021-06-30,0.1341926545641201,63.0,4.0,4.0,4.0,13.41926545641201
BE,2021Q3,2021-09-30,0.009277233953066233,66.0,4.0,4.0,4.0,0.9277233953066233
BE,2021Q4,2021-12-31,0.09280185575231892,66.0,4.0,4.0,4.0,9.280185575231892
BE,2022Q1,2022-03-31,-0.025837188267416877,64.0,4.0,4.0,4.0,-2.5837188267416877
BE,2022Q2,2022-06-30,-0.18106515999251438,63.0,4.0,4.0,4.0,-18.10651599925144
BE,2022Q3,2022-09-30,-0.17017105558807877,66.0,4.0,4.0,4.0,-17.017105558807877
BE,2022Q4,2022-12-31,-0.020607301814392187,64.0,4.0,4.0,4.0,-2.0607301814392187
BE,2023Q1,2023-03-31,0.013017613604164646,65.0,4.0,4.0,4.0,1.3017613604164646
BE,2023Q2,2023-06-30,-0.08928912792047494,62.0,4.0,4.0,4.0,-8.928912792047495
BE,2023Q3,2023-09-30,-0.05175193519254029,65.0,4.0,4.0,4.0,-5.175193519254028
BE,2023Q4,2023-12-31,0.1499749478627459,63.0,4.0,4.0,4.0,14.99749478627459
BE,2024Q1,2024-03-31,-0.09587473146815717,63.0,4.0,4.0,4.0,-9.587473146815718
BE,2024Q2,2024-06-30,0.04988868765992627,63.0,4.0,4.0,4.0,4.988868765992627
